Дата,Место,Стоимость,Цена,Кол. Литров,Пробег,Раход,
"08,11,2023",,,62.5,,230241,,
25.11.2023,Сосновый бор,4000,61.85,64.7,231327,6.0,
10.11.2023,Новгород,3900,62.5,62.4,231814,12.8,
13.12.2023,Ломоносов,4000,62.80,63.7,232490,9.4,
02.02.2024,Ломоносов,4000,63.25,63.2,232855,17.3,
24.02.2024,Ломоносов,4470,63.25,70.7,233319,15.2,
15.03.2024,Ломоносов,4500,63.25,71.1,233915,11.9,
28.04.2024,В новгород,3823,62.95,60.7,234934,6.0,
29.04.2024,Углич,3797,63.30,60.0,235606,8.9,
03.05.2024,Углич,1850,63.30,29.2,235885,10.5,
04.05.2024,,2380,64.81,36.7,236509,5.9,
06.05.2024,Ломоносов,4500,64.25,70.0,236880,18.9,
18.05.2024,Ломоносов,1675,,,,,
24.05.2024,Ломоносов,4360,66.25,65.8,238017,0.0,
25.05.2024,Ломоносов,4000,66.25,60.4,238158,42.8,Начало поездки на рыбачий
26.05.2024,Ляскиля,3524,68.25,51.6,238620,11.2,
27.05.2024,Костамукша,4420,70.35,62.8,239166,11.5,
28.05.2024,Кандалакша,4000,72.40,55.2,239637,11.7,
29.05.2024,Кола,2330,72.40,32.2,239905,12.0,
01.06.2024,Апатиты,4260,72.40,58.8,240290,15.3,
03.05.2024,Апатиты,3950,72.40,54.6,240751,11.8,
04.05.2024,Сумский,5000,69.85,71.6,241396,11.1,
,,2370,70,33.9,242075,5.0,
05.08.2024,Вологда,5000,69.45,72.0,242403,21.9,
10.08.2024,Ростов,3226,63.85,50.5,242832,11.8,
10.08.2024,Переезд,5314,66.61,79.8,243568,10.8,
30.08.2024,Спб,2500,68.8,36.3,244484,4.0,
,Середка,4611,87.2,52.9,244947,11.4,
12.09.2024,Ломоносов,4500,66.50,67.7,245950,6.7,
30.09.2024,,5000,66.70,75.0,246567,12.1,
14.10.2024,Ломоносов,5000,66.95,74.7,247191,12.0,
25.10.2024,Ломоносов,5298,67.20,78.8,247854,11.9,
31.10.2024,Волдай,3000,67.20,44.6,248237,11.7,
31.10.2024,Борисоглебский,4900,66.69,73.5,248703,15.8,
02.11.2024,Дягилево,3220,64.53,49.9,249017,15.9,
02.11.2024,Дзержинск,1676,64.83,25.9,249192,14.8,
03.11.2024,Пенза,4000,64.55,62.0,249619,14.5,
04.11.2024,Камышин,4853,66.03,73.5,250016,18.5,
